date,close,volume,open,high,low
1/27/2015,50.1,1058435,49.35,50.6299,49.16
1/26/2015,50.16,2231328,48.27,50.74,48.27
1/23/2015,48.3,1685707,48.22,49.37,48
1/22/2015,48.44,1537700,48.38,48.69,47.5
1/21/2015,48.23,1621832,47.79,49.27,47.6
1/20/2015,47.79,2956550,48.45,48.5,46.45
1/16/2015,48.15,2698112,49.33,49.83,47.89
1/15/2015,49.24,1932746,52,52.25,49.17
1/14/2015,51.72,2053936,50.1,51.74,49.52
1/13/2015,51.11,2925815,49.53,52.28,49.53
1/12/2015,49.32,2600312,49.19,49.38,47.64
1/9/2015,49.62,2148004,50.61,51.4,49.5
1/8/2015,50.91,1800915,50.01,51.19,49.14
1/7/2015,49.325,2018214,50.19,51.17,49
1/6/2015,49.5,3422471,50.38,50.38,47.32
1/5/2015,50.06,3434484,51.98,52.38,49.5
1/2/2015,52.92,1874436,53.61,54.1,51.9
12/31/2014,53.48,1903446,53.9,53.94,53.0301
12/30/2014,53.89,2920547,55.56,55.75,53.4801
12/29/2014,56.26,1364101,57,57.64,56.02
12/26/2014,57.14,1193481,56.44,57.53,56.3601
12/24/2014,56.76,1326464,56,56.97,55.56
12/23/2014,55.84,1885053,54.13,55.98,53.62
12/22/2014,54.38,1759882,54.84,54.9,53.42
12/19/2014,54.8,2540491,53.58,54.88,53.01
12/18/2014,53.75,3575621,51.65,54.4999,51.61
12/17/2014,50.37,4130293,50.15,50.65,47.62
12/16/2014,49.77,3223280,49.31,51.67,49.05
12/15/2014,49.64,2006583,50.97,51.04,49.5
12/12/2014,50.02,2109447,50.45,50.78,49.7
12/11/2014,50.91,1949880,50.65,52.5,50.5
12/10/2014,50.29,2135845,51.4,52.21,49.91
12/9/2014,51.64,3082791,51,51.715,49.01
12/8/2014,51.7,2449813,53.38,54.1,51.05
12/5/2014,53.5,2645096,52.15,54.36,52.15
12/4/2014,52.365,2218208,51.63,53.1,51.25
12/3/2014,51.74,1957029,51.6,52.59,50.9
12/2/2014,51.11,2418295,51.21,51.486,50.5
12/1/2014,50.89,4094078,54.5,54.78,50.71
11/28/2014,55,1860024,55.75,56.18,54.08
11/26/2014,56.46,1562742,56.5,57.35,56.2
11/25/2014,56.85,2565701,56.99,57.5,56.1
11/24/2014,56.35,2007994,56.3,56.85,55.65
11/21/2014,55.05,3199096,56.76,56.94,54.82
11/20/2014,53.63,1903733,53.72,54.69,53.25
11/19/2014,53.99,2314586,55.75,56.65,53.87
11/18/2014,55.64,3022992,53.78,56.405,53.58
11/17/2014,53.59,2278867,52.94,54.43,52.49
11/14/2014,53.02,2525550,50.62,53.4,50.17
11/13/2014,50.84,3490745,51.72,52.39,50.55
11/12/2014,52.05,2572091,50.6,52.09,50.31
11/11/2014,50.96,3302169,51.69,51.75,49.98
11/10/2014,51.78,2344574,51.1,52.19,50.68
11/7/2014,50.97,4469624,51.54,52.19,50.5
11/6/2014,51.54,8132938,55,55.1299,50.74
11/5/2014,54.44,10711630,57.49,57.85,51.45
11/4/2014,56.96,3005107,58.09,58.3399,56.22
11/3/2014,58.77,3121797,59.18,61.09,58.43
10/31/2014,59.18,4393198,57.35,59.69,57.35
10/30/2014,56.33,3815919,53.99,56.38,53.26
10/29/2014,54.36,2938317,55.11,55.26,53.4301
10/28/2014,55.2,3637227,53.3,55.84,52.71
10/27/2014,53.17,3268187,53.53,53.7399,51.86
10/24/2014,54.25,2825908,53.95,54.5,52.51
10/23/2014,54.1,4695948,54.57,55.25,52.15
10/22/2014,53.92,5066939,56.31,57.18,53.7901
10/21/2014,55.73,3506249,54.31,56.38,54.31
10/20/2014,53.92,3821899,52.01,54.31,51.6
10/17/2014,51.51,4877572,52.75,54.23,51
10/16/2014,50.85,5095982,47.21,52.34,47.01
10/15/2014,48.87,7893197,47.5,49.65,45.91
10/14/2014,49.71,6199138,49.75,50.95,46.55
10/13/2014,48.35,7606637,53.66,53.9969,48.21
10/10/2014,53.55,4948462,53.21,56.16,52.25
10/9/2014,54.28,4595541,56.25,57.57,53.52
10/8/2014,56.48,5889347,55.865,57.1,53.55
10/7/2014,54.55,4622419,57.01,57.5,54.07
10/6/2014,57.75,4803866,60.01,60.2,56.41
10/3/2014,59,4014613,58.22,59.95,57.45
10/2/2014,57.31,4808451,57.89,58.1,55.23
10/1/2014,56.47,6535613,59.07,59.07,55.21
9/30/2014,59.6,5317911,61.56,62,58.43
9/29/2014,61.2,3800477,60.9,62.14,60.54
9/26/2014,61.92,4749360,62.12,63.36,61.16
9/25/2014,61.96,8086587,63.08,63.3,60.05
9/24/2014,63.04,8614059,62.53,65.6,61.7
9/23/2014,60.4,4623006,60.04,62.56,59.23
9/22/2014,60.84,6297154,64.02,64.21,59.63
9/19/2014,64.61,4697666,66.11,66.52,62.54
9/18/2014,65.99,3431438,67.53,68.72,65.25
9/17/2014,67,2861546,68.04,68.75,66.65
9/16/2014,67.13,4255940,67.56,68.4399,65.88
9/15/2014,67.36,6422877,73.56,73.96,66.6
9/12/2014,74.01,5474268,71.59,75.9,71
9/11/2014,71.27,1922805,70.89,71.85,70.03
9/10/2014,70.99,2237013,70.89,71.5,69.34
9/9/2014,70.64,2751222,72.04,73.6,70.12
9/8/2014,72,3281843,70.22,72.99,70.11
9/5/2014,70.08,3429093,70.63,71.41,68.5201
9/4/2014,70.95,5572085,68.79,71.95,68.31
9/3/2014,67.72,2907860,68.11,68.4,67.0601
9/2/2014,67.64,3294460,69.38,69.4,66.8
8/29/2014,68.68,1597115,69.37,69.75,68.43
8/28/2014,68.63,1956971,69.3,69.6876,68.5
8/27/2014,69.89,2065825,71.28,72.05,69.67
8/26/2014,70.48,2806025,71.32,71.32,69.6
8/25/2014,71.39,2109368,71.5,72.91,71.116
8/22/2014,70.73,1964945,69.89,70.92,69.1
8/21/2014,69.9,1855258,70.94,71.5999,69.85
8/20/2014,70.48,1584069,70.6,71.46,69.8
8/19/2014,70.79,3105935,71.03,71.8999,70.02
8/18/2014,72.05,2599678,72.08,73.5,71.9
8/15/2014,71.81,3386355,71.48,72.96,70.78
8/14/2014,71.19,2623983,71.41,71.88,69.1
8/13/2014,71.08,2959684,71.5,71.96,70.2
8/12/2014,70.71,3961367,73.03,73.47,70.06
8/11/2014,73.4,5726940,71.02,74.25,70.23
8/8/2014,70.14,13644830,76.11,79.4,69.52
8/7/2014,75.63,7710964,73.56,76.8,73.525
8/6/2014,72.86,4254322,69.98,73.4548,69.6
8/5/2014,71.25,3234510,69.81,71.62,69.31
8/4/2014,70.06,3854575,70.48,70.66,67.8
8/1/2014,69.81,4226477,70.59,72.57,68.25
7/31/2014,71.53,3300115,73.19,74,71.22
7/30/2014,74.29,2722162,74.01,74.59,73.2
7/29/2014,73.75,3903912,71.95,74.97,71.83
7/28/2014,71.85,3862330,71.38,73.79,70.05
7/25/2014,72.57,3590264,71.67,73.7,71.11
7/24/2014,72.16,4554786,69.12,73.47,69.11
7/23/2014,69.42,2528768,69.42,70.52,68.09
7/22/2014,69.71,2713329,69.06,70.19,67.88
7/21/2014,68.87,3387303,65.98,68.93,65.48
7/18/2014,66.36,2992545,63.79,66.4,63.76
7/17/2014,63.69,2707469,64.43,65.88,63.4
7/16/2014,64.86,2422755,65.73,66.17,64.72
7/15/2014,65.37,3137954,66.85,67.48,64.6701
7/14/2014,66.84,3755090,66.45,68.7499,65.33
7/11/2014,65.78,3883116,66.13,67.74,65.74
7/10/2014,65.58,3919359,63.34,66.3,62.5
7/9/2014,66.43,3809902,65.29,66.79,64.34
7/8/2014,64.61,7038848,68.33,68.68,63.33
7/7/2014,68.4,3405649,70.84,71.878,68.18
7/3/2014,71.34,3050768,73.05,73.28,70.39
7/2/2014,72.11,6360886,74.11,76.06,72.01
7/1/2014,71.22,4424448,70.72,72.25,69.6
6/30/2014,70.6,3598880,71.39,71.96,70.4
6/27/2014,70.87,5482770,70.3,71.8,70.06
6/26/2014,70.8,7576243,69.45,72.1,69.42
6/25/2014,69.01,5473820,67.9,70.2,67.2
6/24/2014,68.04,6628290,69.95,71.19,67.66
6/23/2014,70,7262385,68.8,70.8,67.7
6/20/2014,69,9897360,67.69,69.86,66.77
6/19/2014,67.95,10388870,67.5,68.9,66.01
6/18/2014,67.15,18452600,63.17,68.3,61.55
6/17/2014,64.53,24101210,54.99,65.68,54.25
6/16/2014,54.88,5622467,52.17,55.17,52.1
6/13/2014,52.45,3090475,50.84,52.45,50.25
6/12/2014,50.65,3686656,50.66,52.45,49.91
6/11/2014,50.81,3662676,48.95,51,48.13
6/10/2014,49.19,2306620,49.5,50.19,48.53
6/9/2014,49.62,3026956,50.08,51.08,49.11
6/6/2014,50.24,3506316,50.91,51.34,49.6
6/5/2014,50.8,5637574,48.75,51.44,48.28
6/4/2014,48.66,8288840,47.71,50.4,46.11
6/3/2014,49.21,3996541,51.02,51.1,48.9
6/2/2014,51.27,3766337,52.53,52.969,49.67
5/30/2014,52.5,4915019,55,55.88,51.64
5/29/2014,55.07,5703900,52.14,55.9,52.1
5/28/2014,51.98,2936643,52.94,53.44,51.29
5/27/2014,53.19,3008975,52.79,53.87,52.5
5/23/2014,52.05,3554930,50.99,52.37,50.41
5/22/2014,51.09,3800349,49.37,51.75,48.49
5/21/2014,49.32,3301121,48.29,49.91,47.78
5/20/2014,48.08,4752213,49.75,50.34,47.35
5/19/2014,49.68,3611960,49.67,51.06,49.4
5/16/2014,50.19,4048103,51,51.25,49.1
5/15/2014,51.25,5825453,54.09,54.779,50.2
5/14/2014,54.36,3999717,54.17,56.62,53.55
5/13/2014,54.38,4246654,53.74,55.4,53.19
5/12/2014,54.12,6343025,52.62,54.3,51.12
5/9/2014,52.04,5882055,53.6,54.72,51.5301
5/8/2014,53.6,15366810,51.56,57.39,50.04
5/7/2014,47.71,9599977,52.62,53.5,45.79
5/6/2014,52.46,3582892,55.21,56.39,52.2044
5/5/2014,55.47,2471528,53.5,55.68,53.33
5/2/2014,54.23,2236046,54.8,55.8,53.43
