Year,Month/2015,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total_Capacity_MW
2015,2,MA,59647,Sunrun Inc.,Preliminary,14.996,0,0,0,14.996
2015,2,MD,57313,SolarCity Corporation,Preliminary,27.529,5.903,0.000,0.000,33.430
2015,2,MD,59139,SunEdison LLC,Preliminary,0,8.102,0,0,8.102
2015,2,MD,59579,Sunnova,Preliminary,0.050,0,0,0,0.050
2015,2,MD,59624,"Vivint Solar, Inc.",Preliminary,19.998,0.000,0.000,0.000,19.998
2015,2,MD,59647,Sunrun Inc.,Preliminary,0.788,0,0,0,0.788
2015,2,ME,57313,SolarCity Corporation,Preliminary,0.000,1.015,0.000,0.000,1.020
2015,2,MO,59579,Sunnova,Preliminary,0.015,0,0,0,0.015
2015,2,NJ,57313,SolarCity Corporation,Preliminary,18.736,0.447,0.000,0.000,19.190
2015,2,NJ,59139,SunEdison LLC,Preliminary,0,55.438,1.380,0,56.818
2015,2,NJ,59579,Sunnova,Preliminary,9.174,0,0,0,9.174
2015,2,NJ,59580,"SunPower Capital, LLC",Preliminary,7.142,0,0,0,7.142
2015,2,NJ,59624,"Vivint Solar, Inc.",Preliminary,18.520,0.000,0.000,0.000,18.520
2015,2,NJ,59647,Sunrun Inc.,Preliminary,16.406,0,0,0,16.406
2015,2,NM,57313,SolarCity Corporation,Preliminary,0.015,3.113,0.000,0.000,3.120
2015,2,NM,59579,Sunnova,Preliminary,0.462,0,0,0,0.462
2015,2,NV,57313,SolarCity Corporation,Preliminary,7.132,0.336,0.000,0.000,7.470
2015,2,NV,59139,SunEdison LLC,Preliminary,0,1.165,0,0,1.165
2015,2,NV,59579,Sunnova,Preliminary,2.160,0,0,0,2.160
2015,2,NV,59647,Sunrun Inc.,Preliminary,0.337,0,0,0,0.337
2015,2,NY,57313,SolarCity Corporation,Preliminary,28.200,1.808,0.000,0.000,30.010
2015,2,NY,59139,SunEdison LLC,Preliminary,0,5.929,0,0,5.929
2015,2,NY,59579,Sunnova,Preliminary,0.362,0,0,0,0.362
2015,2,NY,59580,"SunPower Capital, LLC",Preliminary,13.773,0,0,0,13.773
2015,2,NY,59624,"Vivint Solar, Inc.",Preliminary,19.452,0.000,0.000,0.000,19.452
2015,2,NY,59647,Sunrun Inc.,Preliminary,15.119,0,0,0,15.119
2015,2,OH,57313,SolarCity Corporation,Preliminary,0.000,5.015,0.000,0.000,5.020
2015,2,OR,57313,SolarCity Corporation,Preliminary,12.642,7.383,0.000,0.000,20.020
2015,2,OR,59139,SunEdison LLC,Preliminary,0,2.248,0,0,2.248
2015,2,PA,57313,SolarCity Corporation,Preliminary,0.592,0.081,0.000,0.000,0.670
2015,2,PA,59139,SunEdison LLC,Preliminary,0,8.772,0,0,8.772
2015,2,PA,59579,Sunnova,Preliminary,0.018,0,0,0,0.018
2015,2,PA,59580,"SunPower Capital, LLC",Preliminary,0.638,0,0,0,0.638
2015,2,PA,59647,Sunrun Inc.,Preliminary,0.584,0,0,0,0.584
2015,2,PR,57313,SolarCity Corporation,Preliminary,0.000,0.645,0.000,0.000,0.650
2015,2,PR,59139,SunEdison LLC,Preliminary,0,5.627,0,0,5.627
2015,2,PR,59579,Sunnova,Preliminary,2.871,0,0,0,2.871
2015,2,TX,57313,SolarCity Corporation,Preliminary,6.692,11.262,0.000,0.000,17.950
2015,2,TX,59139,SunEdison LLC,Preliminary,0,0.677,0,0,0.677
2015,2,TX,59579,Sunnova,Preliminary,0.088,0,0,0,0.088
2015,2,VT,59580,"SunPower Capital, LLC",Preliminary,2.227,0,0,0,2.227
2015,2,WA,57313,SolarCity Corporation,Preliminary,0.519,0.000,0.000,0.000,0.520
2015,2,WI,59139,SunEdison LLC,Preliminary,0,0.477,0,0,0.477
2015,3,AZ,57313,SolarCity Corporation,Preliminary,127.262,40.540,0.000,0.000,167.800
2015,3,AZ,59139,SunEdison LLC,Preliminary,0,19.448,0,0,19.448
2015,3,AZ,59579,Sunnova,Preliminary,5.298,0,0,0,5.298
2015,3,AZ,59580,"SunPower Capital, LLC",Preliminary,37.678,0,0,0,37.678
2015,3,AZ,59624,"Vivint Solar, Inc.",Preliminary,3.388,0.000,0.000,0.000,3.388
2015,3,AZ,59647,Sunrun Inc.,Preliminary,7.686,0,0,0,7.686
2015,3,CA,57313,SolarCity Corporation,Preliminary,281.153,83.668,0.000,0.000,364.820
2015,3,CA,59139,SunEdison LLC,Preliminary,0,72.037,0,0,72.037
2015,3,CA,59557,RGS Energy,Preliminary,0.293,0,0,0,0.293
2015,3,CA,59579,Sunnova,Preliminary,13.317,0,0,0,13.317
2015,3,CA,59580,"SunPower Capital, LLC",Preliminary,118.087,0,0,0,118.087
2015,3,CA,59624,"Vivint Solar, Inc.",Preliminary,87.258,0.000,0.000,0.000,87.258
2015,3,CA,59647,Sunrun Inc.,Preliminary,167.392,0,0,0,167.392
2015,3,CO,57313,SolarCity Corporation,Preliminary,43.386,9.261,0.000,0.000,52.650
2015,3,CO,59139,SunEdison LLC,Preliminary,0,9.183,0.102,0,9.285
2015,3,CO,59579,Sunnova,Preliminary,0.102,0,0,0,0.102
2015,3,CO,59580,"SunPower Capital, LLC",Preliminary,7.779,0,0,0,7.779
2015,3,CO,59647,Sunrun Inc.,Preliminary,7.344,0,0,0,7.344
2015,3,CT,57313,SolarCity Corporation,Preliminary,12.860,4.669,0.000,0.000,17.530
2015,3,CT,59139,SunEdison LLC,Preliminary,0,3.866,0,0,3.866
2015,3,CT,59579,Sunnova,Preliminary,0.584,0,0,0,0.584
2015,3,CT,59647,Sunrun Inc.,Preliminary,1.813,0,0,0,1.813
2015,3,DC,57313,SolarCity Corporation,Preliminary,0.650,0.000,0.000,0.000,0.650
2015,3,DC,59647,Sunrun Inc.,Preliminary,0.030,0,0,0,0.030
2015,3,DE,57313,SolarCity Corporation,Preliminary,2.460,0.413,0.000,0.000,2.870
2015,3,DE,59647,Sunrun Inc.,Preliminary,1.198,0,0,0,1.198
2015,3,FL,57313,SolarCity Corporation,Preliminary,1.335,0.000,0.000,0.000,1.330
2015,3,FL,59139,SunEdison LLC,Preliminary,0,1.516,0,0,1.516
2015,3,GA,59139,SunEdison LLC,Preliminary,0,6.227,0,0,6.227
2015,3,GU,59579,Sunnova,Preliminary,0.743,0,0,0,0.743
2015,3,HI,57313,SolarCity Corporation,Preliminary,10.002,16.944,0.000,0.000,26.940
2015,3,HI,59139,SunEdison LLC,Preliminary,0,2.957,0,0,2.957
2015,3,HI,59579,Sunnova,Preliminary,0.658,0,0,0,0.658
2015,3,HI,59580,"SunPower Capital, LLC",Preliminary,3.411,0,0,0,3.411
2015,3,HI,59624,"Vivint Solar, Inc.",Preliminary,20.560,0.000,0.000,0.000,20.560
2015,3,HI,59647,Sunrun Inc.,Preliminary,11.830,0,0,0,11.830
2015,3,IN,59579,Sunnova,Preliminary,0.020,0,0,0,0.020
2015,3,LA,59579,Sunnova,Preliminary,0.139,0,0,0,0.139
2015,3,MA,57313,SolarCity Corporation,Preliminary,25.757,3.150,0.000,0.000,28.910
2015,3,MA,59139,SunEdison LLC,Preliminary,0,14.583,0,0,14.583
2015,3,MA,59579,Sunnova,Preliminary,0.898,0,0,0,0.898
2015,3,MA,59580,"SunPower Capital, LLC",Preliminary,1.956,0,0,0,1.956
2015,3,MA,59624,"Vivint Solar, Inc.",Preliminary,23.457,0.000,0.000,0.000,23.457
